id,timestamp,category,title,cities
seed_001,2026-02-28T08:30:00.000Z,1,ירי רקטות וטילים,תל אביב - מרכז העיר|רמת גן - מרכז|ראשון לציון
seed_002,2026-02-28T10:15:00.000Z,1,ירי רקטות וטילים,אשדוד - יא,יב,טו,יז,מרינה|אשקלון - צפון
seed_003,2026-02-28T14:00:00.000Z,14,התרעה מוקדמת,ירושלים - מרכז|בית שמש
seed_004,2026-02-28T14:02:00.000Z,1,ירי רקטות וטילים,ירושלים - מרכז|ירושלים - דרום|בית שמש
seed_005,2026-03-01T06:00:00.000Z,1,ירי רקטות וטילים,תל אביב - דרום|תל אביב - יפו|פתח תקווה
seed_006,2026-03-02T09:30:00.000Z,1,ירי רקטות וטילים,קריית שמונה|נהריה|צפת
seed_007,2026-03-02T09:35:00.000Z,1,ירי רקטות וטילים,חיפה - מרכז|חיפה - קריות
seed_008,2026-03-03T12:00:00.000Z,1,ירי רקטות וטילים,כרמיאל|עכו|טבריה
seed_009,2026-03-05T16:45:00.000Z,1,ירי רקטות וטילים,באר שבע - מזרח|באר שבע - מערב|אשדוד - ג,ו,ז
seed_010,2026-03-07T02:00:00.000Z,1,ירי רקטות וטילים,נתניה|רחובות|מודיעין
